source	interaction	target
PIK3R2	PPI>	FYN
RAF1	PPI>	IL2RB
PTPN11	PPI>	CAV1
PIK3R1	PPI>	ERBB2
MST1R	PPI>	GRB2
KHDRBS1	PPI>	STUB1
PTK2B	PPI>	STAT3
GHR	PPI>	PTPN11
RAF1	PPI>	JAK1
AXL	PPI>	SHC1
SRC	PPI>	ESR1
SRC	PPI>	PTK2
SOCS1	PPI>	FYN
LCK	PPI>	STAT1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
PTPN6	PPI>	ABL1
SOS1	PPI>	SHC1
PTPN11	PPI>	CHUK
SYK	PPI>	TNFRSF1A
MAPK1	PPI>	ESR1
CSF2RA	PPI>	CSF2RB
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
MAPK3	PPI>	DUSP3
SRC	PPI>	PTPN11
TYK2	PPI>	IFNAR2
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
ESR1	PPI>	SRC
RB1	PPI>	MAPK1
EPOR	PPI>	GRB2
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
PIK3R2	PPI>	TGFBR1
BCAR1	PPI>	FYN
CBL	PPI>	FYN
FES	PPI>	CSF2RB
LCK	PPI>	PTPN6
CRK	PPI>	SOS1
STAT3	PPI>	PDGFRB
TYK2	PPI>	STAT2
MAPK3	PPI>	ESR1
PIK3R2	PPI>	IRS1
SHC1	PPI>	ESR1
PIK3R1	PPI>	CSF2RA
EGFR	PPI>	CAMK2G
PTK2B	PPI>	FLT1
ESR1	PPI>	PIK3R3
IL2RB	PPI>	GRB2
EPOR	PPI>	PTPN11
YWHAG	PPI>	PAK1
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
INSR	PPI>	CALM3
YWHAB	PPI>	CDC25B
PIK3R1	PPI>	PTPN6
SYK	PPI>	RPS6KA1
PDPK1	PPI>	PAK1
YWHAG	PPI>	IGF1R
GAB1	PPI>	PDGFRB
ARHGAP1	PPI>	PTPN11
SRC	PPI>	RAF1
FYN	PPI>	PRKCD
PTPN11	PPI>	GRB2
RET	PPI>	STAT3
PTK2B	PPI>	PTK2
GRB2	PPI>	IL2RB
AKT2	PPI>	ESR1
KIT	PPI>	CSF2RB
PIK3R1	PPI>	PECAM1
GNB2L1	PPI>	RB1
YWHAB	PPI>	TSC2
GRB2	PPI>	KDR
PDGFRB	PPI>	STAT1
YWHAG	PPI>	PRKCB
GRB10	PPI>	EGFR
PTPN11	PPI>	JAK2
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
TYK2	PPI>	EIF2AK2
MTOR	PPI>	AKT1
PTK2	PPI>	LCK
GRB2	PPI>	FLT1
IFNAR1	PPI>	TYK2
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
IGF1R	PPI>	PIK3R1
BCAR1	PPI>	LCK
TEC	PPI>	BMX
PIK3CA	PPI>	APPL1
CRKL	PPI>	SOS1
MAPK1	PPI>	DUSP3
MET	PPI>	SRC
GRB2	PPI>	PAK1
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
PIK3R3	PPI>	AXL
JAK1	PPI>	GRB2
SRC	PPI>	BMX
SHC1	PPI>	JAK2
PTK2B	PPI>	PTPN6
ABL1	PPI>	PTPN6
TSHR	PPI>	JAK2
JAK1	PPI>	IL2RG
STAT3	PPI>	STAT5B
PDGFRA	PPI>	STAT3
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
IFNGR1	PPI>	STAT1
MET	PPI>	BAG1
JAK2	PPI>	IFNGR1
MAPK1	PPI>	TNFRSF1A
AXL	PPI>	PIK3R1
PIK3R1	PPI>	AKT1
CRK	PPI>	GRB2
PRKCD	PPI>	PTPN6
YWHAB	PPI>	RPS6KA1
SOS1	PPI>	ESR1
CDH2	PPI>	CTNNB1
PIK3R1	PPI>	TUBG1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
PIK3R1	PPI>	SOCS6
PDGFRA	PPI>	STAT5B
KHDRBS1	PPI>	MAPK1
PTPN6	PPI>	CTNNB1
YWHAQ	PPI>	MDM4
RET	PPI>	SHC1
PRKCZ	PPI>	SRC
YWHAB	PPI>	AKAP13
RASA1	PPI>	PDGFRB
SRC	PPI>	GRB2
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
GAB1	PPI>	PTPN11
PTPN11	PPI>	FLT1
AXL	PPI>	PTPN11
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
PDGFRB	PPI>	EIF2AK2
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
PTPN6	PPI>	SHC1
RAF1	PPI>	SRC
PIK3R3	PPI>	IRS1
GRB2	PPI>	FYN
PIK3R1	PPI>	CRK
LCK	PPI>	MAPK1
PRKCZ	PPI>	JAK1
SHC1	PPI>	IL2RG
SRC	PPI>	DGKZ
ABL1	PPI>	RB1
CBL	PPI>	SYK
GRB10	PPI>	FYN
PIK3R1	PPI>	GRB2
STAT3	PPI>	PTPN11
MAPK1	PPI>	RB1
STAT3	PPI>	EIF2AK2
ERBB2	PPI>	GRB2
PTK2B	PPI>	JAK1
HRAS	PPI>	RAF1
GRB10	PPI>	KDR
GAB1	PPI>	MAPK1
MAPK1	PPI>	RPS6KA1
SOCS1	PPI>	PDGFRB
AXL	PPI>	GRB2
RB1	PPI>	GNB2L1
PTK2	PPI>	SRC
ABL1	PPI>	BCAR1
PRKCZ	PPI>	FYN
GRB2	PPI>	ESR1
MST1R	PPI>	SRC
PTK2B	PPI>	BCAR1
GRB2	PPI>	PTPN11
TGFBR1	PPI>	CTNNB1
KIT	PPI>	STAT5A
SHC1	PPI>	PTPN11
BRAF	PPI>	MAPK1
CD5	PPI>	PRKCB
PIK3R1	PPI>	PTK2B
MAPK3	PPI>	STAT5A
ERBB2	PPI>	PTPN11
JAK1	PPI>	IFNGR1
GTF2H1	PPI>	ESR1
SRC	PPI>	CHUK
SOS1	PPI>	GRB2
LCK	PPI>	SYK
EPOR	PPI>	STAT5A
PTPN11	PPI>	PTK2
PRKCZ	PPI>	MAPK1
FES	PPI>	JAK1
GRB2	PPI>	PIK3R1
IRS1	PPI>	PTPN11
CALM1	PPI>	ESR1
YWHAG	PPI>	AKAP13
AKAP13	PPI>	ESR1
CBL	PPI>	SRC
MAP2K1	PPI>	PEBP1
IRS2	PPI>	UBTF
AKT1	PPI>	RAF1
FYN	PPI>	CSF2RB
PIK3R1	PPI>	TSHR
SOCS1	PPI>	EGFR
SYK	PPI>	PIK3R1
SOCS1	PPI>	JAK2
SRC	PPI>	PTPN2
CD5	PPI>	FYN
NTRK1	PPI>	MAPK3
PTK2	PPI>	FYN
SOS1	PPI>	ERBB2
RET	PPI>	GRB2
PIK3R1	PPI>	RET
PECAM1	PPI>	FYN
IL2RB	PPI>	RAF1
ESR1	PPI>	EGFR
ERBB2	PPI>	JAK2
YWHAB	PPI>	SRC
PTK2B	PPI>	SRC
BCAR1	PPI>	ESR1
SOCS7	PPI>	EGFR
GAB1	PPI>	GRB2
PIK3R1	PPI>	JAK2
PIK3R1	PPI>	RRAS2
PAK1	PPI>	MAPK1
EGFR	PPI>	JAK2
IRS1	PPI>	JAK2
INSR	PPI>	IGF1R
GRB2	PPI>	EGFR
EGFR	PPI>	PIK3R1
EGFR	PPI>	PAK1
IL7R	PPI>	IL2RG
DUSP3	PPI>	STAT1
PIK3R1	PPI>	AXL
IGF1R	PPI>	PIK3R3
CBL	PPI>	LCK
MAP2K1	PPI>	PRKCZ
STAT3	PPI>	GNB2L1
IRS2	PPI>	IGF1R
STAT3	PPI>	MAPK3
SRC	PPI>	KIT
INSR	PPI>	PIK3R3
KHDRBS1	PPI>	FYN
PIK3R1	PPI>	CD40
SOS1	PPI>	MAPK1
PAK1	PPI>	BMX
MAPK3	PPI>	RPS6KA1
IFNAR1	PPI>	IFNAR2
FYN	PPI>	PDGFRB
IL2RB	PPI>	GNB2L1
SOCS1	PPI>	JAK1
FYN	PPI>	SOS1
PTPN11	PPI>	ERBB2
PAK1	PPI>	ERBB2
YWHAB	PPI>	RGS3
CRK	PPI>	KIT
YWHAQ	PPI>	CDC25B
GAB2	PPI>	PTPN6
PIK3R1	PPI>	KHDRBS1
PECAM1	PPI>	PTPN11
PDGFRB	PPI>	GRB2
TGFBR1	PPI>	CAV1
IRS2	PPI>	PTPN6
GAB2	PPI>	AKT1
PTPN6	PPI>	KIT
PTK2B	PPI>	EGFR
FYN	PPI>	RAF1
PRKCD	PPI>	MAPK1
PIK3R1	PPI>	KIT
AXL	PPI>	PIK3R3
CBL	PPI>	PIK3R1
MAPK1	PPI>	SOS1
GNB2L1	PPI>	STAT1
CTNNB1	PPI>	CHUK
CTLA4	PPI>	PTPN11
MAPK3	PPI>	SYK
RET	PPI>	PTPN11
IL2RB	PPI>	STAT5B
GAB2	PPI>	PTPN11
LCK	PPI>	CSF2RB
SHB	PPI>	KDR
MAPK1	PPI>	PTPN1
PDGFRA	PPI>	PDGFRB
EGFR	PPI>	SRC
SHB	PPI>	GRB2
STAT5A	PPI>	ESR1
PAK1	PPI>	GRB2
