source	interaction	target
PIK3R2	PPI>	FYN
CSF2RB	PPI>	STAT1
IL2RB	PPI>	LCK
PIK3R1	PPI>	SRC
MTOR	PPI>	PLD2
SHC1	PPI>	EGFR
GHR	PPI>	PTPN11
PTPN11	PPI>	STAT5B
TGFBR1	PPI>	CHUK
JAK1	PPI>	PTPN2
JAK2	PPI>	STAT1
TERT	PPI>	SRC
SRC	PPI>	PTK2
PTPN11	PPI>	JAK1
SOCS1	PPI>	FYN
EGFR	PPI>	PDGFRB
LCK	PPI>	STAT1
AKT1	PPI>	YWHAZ
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
PIK3R1	PPI>	JAK3
PIK3R2	PPI>	IGF1R
JAK3	PPI>	LCK
PTPN11	PPI>	CHUK
JAK2	PPI>	ELP2
MTOR	PPI>	IRS1
PDPK1	PPI>	SRC
STAT3	PPI>	SYK
IRS1	PPI>	JAK1
YWHAZ	PPI>	FOXO3
MTOR	PPI>	PDPK1
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
PDPK1	PPI>	SGK1
SRC	PPI>	PTPN11
JAK2	PPI>	FYN
JAK2	PPI>	CSF2RB
IL7R	PPI>	STAT5B
PIK3R2	PPI>	SHC1
AKT1S1	PPI>	AKT1
PDGFRB	PPI>	FYN
SRC	PPI>	IKBKB
EGFR	PPI>	JAK2
PIK3R1	PPI>	TUB
PTK2B	PPI>	PTPN11
PTK2B	PPI>	JAK2
PIK3R1	PPI>	TYK2
PIK3R1	PPI>	NTRK1
JAK2	PPI>	STAT5B
CRK	PPI>	PDGFRA
PRKCD	PPI>	EGFR
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
IGF1R	PPI>	PTPN11
SOCS1	PPI>	JAK2
STAT3	PPI>	ELP2
IGF1R	PPI>	PRKCD
PIK3R2	PPI>	YWHAB
PIK3R2	PPI>	TGFBR1
IL7R	PPI>	STAT5A
MST1R	PPI>	JAK2
RAC1	PPI>	STAT3
TERT	PPI>	AKT1
EGFR	PPI>	STAT5B
LCK	PPI>	SYK
FES	PPI>	CSF2RB
PIK3CA	PPI>	PRKCD
SRC	PPI>	PRKCD
JAK1	PPI>	PDGFRB
PIK3R1	PPI>	EGFR
AKT1	PPI>	CHUK
PTPN11	PPI>	LCK
PIK3R1	PPI>	SYK
STAT3	PPI>	PDGFRB
IRS1	PPI>	AKT1
GAB2	PPI>	LCK
PIK3R2	PPI>	IRS1
PTK2	PPI>	JAK2
IL2RB	PPI>	STAT5A
AKT1	PPI>	IKBKB
PTK2B	PPI>	FLT1
IRS1	PPI>	YWHAZ
PTK2	PPI>	FLT1
LCK	PPI>	PTPN11
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
PTPN11	PPI>	FYN
JAK1	PPI>	TYK2
AKT1	PPI>	STAT1
JAK1	PPI>	ELP2
JAK1	PPI>	STAT1
MTOR	PPI>	AKT1S1
JAK2	PPI>	PDGFRB
PDGFRB	PPI>	PDGFRA
FES	PPI>	STAT3
FYN	PPI>	TYK2
JAK1	PPI>	STAT5A
PIK3CA	PPI>	PIK3R1
STAT3	PPI>	SRC
FYN	PPI>	PRKCD
MTOR	PPI>	RPS6KB1
EGFR	PPI>	STAT3
PTPN11	PPI>	STAT5A
TUB	PPI>	LCK
GHR	PPI>	TYK2
PIK3R1	PPI>	YWHAG
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
PDPK1	PPI>	AKT2
CRK	PPI>	XPO1
STAT3	PPI>	JAK1
PTK2B	PPI>	PTK2
PIK3R1	PPI>	CRK
PRKCD	PPI>	STAT3
PTPN11	PPI>	STAT1
EIF4EBP1	PPI>	AKT1
PDGFRB	PPI>	SRC
FYN	PPI>	PTK2
STAT3	PPI>	IL2RB
GHR	PPI>	STAT5A
PDGFRB	PPI>	TYK2
PTPN11	PPI>	CSF2RB
SRC	PPI>	STAT3
PDGFRB	PPI>	STAT1
SHC1	PPI>	SRC
ZNF467	PPI>	STAT1
PTPN11	PPI>	JAK2
SHC1	PPI>	FYN
INSR	PPI>	PTPN2
JAK3	PPI>	JAK2
PIK3R1	PPI>	PDGFRA
PLD2	PPI>	EGFR
CRK	PPI>	EGFR
PTK2	PPI>	LCK
STAT3	PPI>	LCK
INSR	PPI>	JAK1
JAK1	PPI>	PTPN11
FOS	PPI>	STAT1
GHR	PPI>	PTPN2
IGF1R	PPI>	JAK2
CHUK	PPI>	FOXO3
PIK3R3	PPI>	PDGFRB
PIK3CA	PPI>	APPL1
PTPN11	PPI>	PDGFRB
STAT3	PPI>	RAC1
TYK2	PPI>	FYN
RPS6KA1	PPI>	SYK
SHC1	PPI>	PDGFRB
PIK3CA	PPI>	APLP2
PIK3R2	PPI>	SYK
PTK2	PPI>	SYK
PRKCD	PPI>	RAC1
STAT3	PPI>	RPS6KA5
JAK2	PPI>	EGFR
JAK2	PPI>	STAT5A
STAT3	PPI>	ZNF467
SHC1	PPI>	JAK2
INSR	PPI>	PTK2
SRC	PPI>	YWHAG
PIK3CA	PPI>	PDGFRB
IRS1	PPI>	TYK2
YWHAG	PPI>	PRKCD
XPO1	PPI>	FOXO4
SRC	PPI>	PDGFRB
SYK	PPI>	IL2RB
TYK2	PPI>	STAT1
PTPN11	PPI>	SRC
XPO1	PPI>	STAT1
STAT3	PPI>	STAT5B
PDGFRA	PPI>	STAT3
EIF4EBP1	PPI>	RPS6KA5
PIK3R1	PPI>	GAB2
ABL1	PPI>	YWHAG
PIK3R1	PPI>	RAC1
SHC1	PPI>	STAT5A
FYN	PPI>	IL2RB
STAT3	PPI>	PDGFRA
AKT1	PPI>	SRC
RPS6KB1	PPI>	RAC1
PTK2B	PPI>	STAT3
PIK3R1	PPI>	PTK2
STAT3	PPI>	JAK2
PIK3R1	PPI>	LCK
RHEBL1	PPI>	AKT1
CRK	PPI>	STAT5A
PIK3R1	PPI>	IL7R
IRS2	PPI>	TYK2
INSR	PPI>	STAT5B
CRK	PPI>	PDGFRB
GAB2	PPI>	SYK
IRS2	PPI>	YWHAZ
YWHAB	PPI>	IKBKB
NTRK1	PPI>	PTPN11
EGFR	PPI>	STAT5A
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
SHC1	PPI>	STAT5B
PRKCD	PPI>	YWHAG
JAK3	PPI>	PTPN2
AKT1S1	PPI>	AKT2
SGK1	PPI>	FOXO3
IGF1R	PPI>	SRC
SYK	PPI>	STAT3
APPL1	PPI>	AKT2
MTOR	PPI>	EIF4EBP1
TYK2	PPI>	PDGFRB
IL7R	PPI>	STAT3
PTK2	PPI>	EGFR
PTPN11	PPI>	EGFR
PIK3R1	PPI>	IGF1R
IL7R	PPI>	JAK1
SYK	PPI>	LCK
FLT1	PPI>	STAT1
TUB	PPI>	JAK2
IGF1R	PPI>	YWHAZ
SHC1	PPI>	MAPK14
PIK3R1	PPI>	PTK2B
IL2RB	PPI>	STAT3
LCK	PPI>	IL2RB
PDGFRB	PPI>	JAK2
IRS1	PPI>	PRKCD
SYK	PPI>	JAK1
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
MTOR	PPI>	TERT
GHR	PPI>	JAK2
PIK3R3	PPI>	IRS1
JAK3	PPI>	STAT5A
MST1R	PPI>	YWHAZ
PLD2	PPI>	FYN
PTK2B	PPI>	PRKCD
PIK3R1	PPI>	JAK1
PLD2	PPI>	LCK
EGFR	PPI>	STAT1
GHR	PPI>	STAT3
STAT3	PPI>	PTPN2
PDGFRA	PPI>	PTPN11
JAK3	PPI>	JAK1
MTOR	PPI>	RHEBL1
JAK2	PPI>	PTPN11
SRC	PPI>	SYK
STAT3	PPI>	EGFR
PTPN11	PPI>	PDGFRA
PIK3R1	PPI>	PTPN11
PDPK1	PPI>	AKT1
PIK3R1	PPI>	MAPK8
STAT3	PPI>	PTPN11
IRS2	PPI>	JAK1
PIK3R1	PPI>	GHR
PIK3CA	PPI>	IRS2
SOCS1	PPI>	IL2RB
CRK	PPI>	FYN
PTK2B	PPI>	JAK1
RPS6KA1	PPI>	FOS
RPS6KB1	PPI>	XPO1
PDGFRB	PPI>	PTK2
IRS1	PPI>	CHUK
FYN	PPI>	SYK
STAT3	PPI>	FLT1
SYK	PPI>	CSF2RB
PTPN2	PPI>	STAT1
SOCS1	PPI>	PDGFRB
PTK2B	PPI>	LCK
TGFBR1	PPI>	IKBKB
SHC1	PPI>	LCK
PIK3R1	PPI>	AKT1
PTK2B	PPI>	SYK
JAK1	PPI>	IL2RB
PLD2	PPI>	PRKCD
PTK2	PPI>	SRC
SYK	PPI>	PTK2
PIK3R2	PPI>	SOCS1
RAC1	PPI>	STAT1
PIK3R3	PPI>	PIK3CA
PDGFRA	PPI>	JAK1
AKT1	PPI>	FOXO4
SHC1	PPI>	PTPN11
PTK2B	PPI>	FYN
AKT1	PPI>	FOXO3
JAK2	PPI>	STAT3
MTOR	PPI>	RPS6KA1
STAT5A	PPI>	STAT1
STAT3	PPI>	STAT5A
CRK	PPI>	STAT5B
JAK2	PPI>	PTK2
IRS1	PPI>	PTK2
INSR	PPI>	STAT5A
IRS2	PPI>	PTPN11
EGFR	PPI>	PTK2
GHR	PPI>	JAK1
SRC	PPI>	CHUK
STAT3	PPI>	STAT1
PTK2	PPI>	STAT1
MTOR	PPI>	STAT3
PTK2	PPI>	PDGFRB
EGFR	PPI>	PTPN2
EGFR	PPI>	YWHAZ
YWHAQ	PPI>	YWHAG
AKT1	PPI>	AKT2
SHC1	PPI>	PRKCD
PIK3R1	PPI>	MST1R
YWHAB	PPI>	YWHAG
PIK3R1	PPI>	IRS1
PTPN11	PPI>	PTK2
IRS1	PPI>	FYN
APPL1	PPI>	AKT1
EGFR	PPI>	PTPN11
FES	PPI>	JAK1
PIK3R2	PPI>	EGFR
IRS1	PPI>	PTPN11
PIK3CA	PPI>	PIK3R3
RAC1	PPI>	AKT1
SRC	PPI>	STAT5B
JAK1	PPI>	STAT3
MAPK8	PPI>	YWHAZ
GAB2	PPI>	SRC
PIK3R3	PPI>	IRS2
SHC1	PPI>	CSF2RB
PIK3R1	PPI>	TGFBR1
PDGFRA	PPI>	STAT5B
SHC1	PPI>	PTK2
PTPN11	PPI>	FLT1
IRS1	PPI>	YWHAG
PIK3R1	PPI>	SHC1
PIK3R1	PPI>	SOCS1
FYN	PPI>	CSF2RB
AKT2	PPI>	FOXO4
PIK3R3	PPI>	IGF1R
SOCS1	PPI>	EGFR
EIF4EBP1	PPI>	MAPK14
SRC	PPI>	PTPN2
ABL1	PPI>	JAK1
PDGFRB	PPI>	JAK1
PDPK1	PPI>	PRKCD
PTK2	PPI>	FYN
PDGFRB	PPI>	STAT3
PRKCD	PPI>	STAT1
PTPN11	PPI>	STAT3
IL2RB	PPI>	STAT5B
IGF1R	PPI>	YWHAG
SHC1	PPI>	FLT1
YWHAB	PPI>	SRC
PIK3R1	PPI>	INSR
IL2RB	PPI>	SYK
STAT3	PPI>	CSF2RB
JAK1	PPI>	CSF2RB
SYK	PPI>	STAT5A
PIK3R1	PPI>	JAK2
PIK3R1	PPI>	CDC42
MAPK14	PPI>	STAT1
IKBKB	PPI>	FOXO3
PIK3R2	PPI>	PDGFRB
IRS1	PPI>	JAK2
LCK	PPI>	PRKCD
FES	PPI>	JAK2
ABL1	PPI>	SRC
SHC1	PPI>	SYK
IL2RB	PPI>	FYN
LCK	PPI>	STAT3
JAK1	PPI>	SYK
FYN	PPI>	STAT1
PRKCD	PPI>	FYN
FYN	PPI>	JAK2
INSR	PPI>	SRC
IRS2	PPI>	JAK2
MST1R	PPI>	AKT1
SHC1	PPI>	IL2RB
PTK2	PPI>	PTPN11
IGF1R	PPI>	STAT3
PIK3CA	PPI>	LCK
ABL1	PPI>	JAK2
APLP2	PPI>	AKT1
AKT1S1	PPI>	YWHAG
IL7R	PPI>	FYN
SHC1	PPI>	PTPN2
IRS1	PPI>	IKBKB
YWHAZ	PPI>	FOXO4
PIK3R1	PPI>	ABL1
SRC	PPI>	STAT1
PIK3R1	PPI>	FYN
FYN	PPI>	PDGFRB
STAT3	PPI>	PRKCD
TERT	PPI>	XPO1
RPS6KA5	PPI>	STAT1
SOCS1	PPI>	JAK1
TYK2	PPI>	JAK1
PDGFRA	PPI>	STAT1
IRS2	PPI>	YWHAG
PIK3CA	PPI>	RPS6KB1
RPS6KB1	PPI>	AKT1
GHR	PPI>	STAT5B
PDGFRB	PPI>	EGFR
MST1R	PPI>	SRC
JAK1	PPI>	PDGFRA
PIK3R1	PPI>	FES
INSR	PPI>	PRKCD
TUB	PPI>	SRC
SRC	PPI>	AKT1
MTOR	PPI>	YWHAQ
PRKCD	PPI>	YWHAZ
JAK3	PPI>	IL2RB
ELP2	PPI>	STAT1
JAK3	PPI>	STAT3
SYK	PPI>	SRC
STAT5B	PPI>	STAT1
MAPK8	PPI>	MAPK14
GAB2	PPI>	AKT1
PIK3R1	PPI>	IRS2
PTK2B	PPI>	EGFR
CDC42	PPI>	LCK
