source	interaction	target
PIK3R2	PPI>	FYN
CSF2RB	PPI>	STAT1
IL2RB	PPI>	LCK
PIK3R1	PPI>	SRC
IFNAR1	PPI>	LCK
SHC1	PPI>	EGFR
GHR	PPI>	PTPN11
PTPN11	PPI>	STAT5B
IGF1R	PPI>	PRKCD
JAK1	PPI>	PTPN2
PIK3R1	PPI>	SYK
STAT5A	PPI>	STAT1
SRC	PPI>	PTK2
PTPN11	PPI>	JAK1
SOCS1	PPI>	FYN
EGFR	PPI>	PDGFRB
LCK	PPI>	STAT1
RPS6KA1	PPI>	CREB1
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
PIK3R1	PPI>	JAK3
PIK3R2	PPI>	IGF1R
FGFR1	PPI>	RPS6KA1
STAT3	PPI>	ZNF467
PDPK1	PPI>	SRC
AKT1	PPI>	CREB1
STAT3	PPI>	SYK
IRS1	PPI>	JAK1
AKT1	PPI>	SRC
MTOR	PPI>	PDPK1
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
PDPK1	PPI>	SGK1
SRC	PPI>	PTPN11
JAK2	PPI>	FYN
JAK2	PPI>	CSF2RB
MTOR	PPI>	PLD2
PIK3R2	PPI>	SHC1
AKT1S1	PPI>	AKT1
PDGFRB	PPI>	FYN
PIK3R1	PPI>	TUB
PTK2B	PPI>	PTPN11
PTK2B	PPI>	JAK2
PIK3R1	PPI>	TYK2
CEBPB	PPI>	CREB1
JAK2	PPI>	STAT5B
CRK	PPI>	PDGFRA
IRS1	PPI>	FYN
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
IGF1R	PPI>	PTPN11
SOCS1	PPI>	JAK2
JAK2	PPI>	ABL1
PTK2	PPI>	STAT1
RET	PPI>	PTK2
SHC1	PPI>	SYK
SYK	PPI>	RPS6KA1
IL7R	PPI>	STAT5A
MST1R	PPI>	JAK2
RAC1	PPI>	STAT3
TERT	PPI>	AKT1
EGFR	PPI>	STAT5B
EGFR	PPI>	PTPN2
FES	PPI>	CSF2RB
SYK	PPI>	FYN
JAK1	PPI>	PDGFRB
PIK3R1	PPI>	EGFR
PTPN11	PPI>	LCK
PDPK1	PPI>	RPS6KA3
TUB	PPI>	ABL1
STAT3	PPI>	PDGFRB
IRS1	PPI>	AKT1
PIK3R2	PPI>	IRS1
PTK2	PPI>	JAK2
NTRK1	PPI>	ABL1
IL2RB	PPI>	STAT5A
LCK	PPI>	STAT3
PTK2B	PPI>	FLT1
PTK2	PPI>	FLT1
LCK	PPI>	PTPN11
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
PTPN11	PPI>	FYN
JAK1	PPI>	TYK2
TERT	PPI>	ABL1
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
MTOR	PPI>	AKT1S1
JAK2	PPI>	PDGFRB
FES	PPI>	STAT3
FYN	PPI>	TYK2
JAK1	PPI>	STAT5A
STAT3	PPI>	PRKCD
SHC1	PPI>	STAT5A
STAT3	PPI>	SRC
FYN	PPI>	PRKCD
MTOR	PPI>	RPS6KB1
EGFR	PPI>	STAT3
PTPN11	PPI>	STAT5A
TUB	PPI>	LCK
GHR	PPI>	TYK2
PIK3R1	PPI>	YWHAG
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
PTK2B	PPI>	PRKCD
CRK	PPI>	XPO1
STAT3	PPI>	JAK1
RET	PPI>	STAT3
PTK2B	PPI>	PTK2
PRKCD	PPI>	STAT3
PTPN11	PPI>	STAT1
EIF4EBP1	PPI>	AKT1
PDGFRB	PPI>	SRC
FYN	PPI>	PTK2
STAT3	PPI>	IL2RB
APPL1	PPI>	AKT1
AKT1	PPI>	STAT1
PDGFRB	PPI>	TYK2
EGFR	PPI>	PTPN11
SRC	PPI>	STAT3
PDGFRB	PPI>	STAT1
SHC1	PPI>	SRC
ZNF467	PPI>	STAT1
PTPN11	PPI>	JAK2
SHC1	PPI>	FYN
INSR	PPI>	PTPN2
JAK3	PPI>	JAK2
PIK3R1	PPI>	PDGFRA
PLD2	PPI>	EGFR
CRK	PPI>	EGFR
PTK2	PPI>	LCK
STAT3	PPI>	LCK
IFNAR1	PPI>	TYK2
PIK3R2	PPI>	EGFR
JAK1	PPI>	PTPN11
JAK2	PPI>	ELP2
YWHAQ	PPI>	ABL1
FOS	PPI>	STAT1
GHR	PPI>	PTPN2
PTK2B	PPI>	STAT3
PIK3R3	PPI>	PDGFRB
PIK3CA	PPI>	APPL1
APLP2	PPI>	AKT1
STAT3	PPI>	RAC1
TYK2	PPI>	FYN
RPS6KA1	PPI>	SYK
SHC1	PPI>	PDGFRB
PIK3CA	PPI>	APLP2
PTK2	PPI>	SYK
PRKCD	PPI>	RAC1
STAT3	PPI>	RPS6KA5
JAK2	PPI>	EGFR
JAK2	PPI>	STAT5A
MTOR	PPI>	IRS1
SHC1	PPI>	JAK2
INSR	PPI>	PTK2
PIK3CA	PPI>	PDGFRB
IRS1	PPI>	TYK2
SGK1	PPI>	CREB1
RHEB	PPI>	ATM
SRC	PPI>	PDGFRB
PDGFRA	PPI>	STAT1
EIF4EBP1	PPI>	ATM
SYK	PPI>	IL2RB
TYK2	PPI>	STAT1
PTPN11	PPI>	SRC
XPO1	PPI>	STAT1
STAT3	PPI>	STAT5B
PDGFRA	PPI>	STAT3
EIF4EBP1	PPI>	RPS6KA5
PIK3R1	PPI>	GAB2
ELP2	PPI>	STAT1
PIK3R1	PPI>	IFNAR1
PIK3CA	PPI>	PIK3R1
GHR	PPI>	STAT3
STAT3	PPI>	PDGFRA
PIK3R1	PPI>	AKT1
IGF1R	PPI>	JAK2
PIK3R1	PPI>	PTK2
STAT3	PPI>	JAK2
PIK3R1	PPI>	LCK
RHEBL1	PPI>	AKT1
CRK	PPI>	STAT5A
PIK3R1	PPI>	IL7R
YWHAB	PPI>	RPS6KA1
IRS2	PPI>	TYK2
INSR	PPI>	STAT5B
CRK	PPI>	PDGFRB
GAB2	PPI>	SYK
ABL1	PPI>	ATM
JAK1	PPI>	STAT1
YWHAG	PPI>	ABL1
ABL1	PPI>	CREB1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
PDGFRB	PPI>	JAK2
SHC1	PPI>	STAT5B
PTPN11	PPI>	PDGFRB
JAK1	PPI>	ABL1
IGF1R	PPI>	SRC
SYK	PPI>	STAT3
GHR	PPI>	STAT5B
PDPK1	PPI>	AKT1
TYK2	PPI>	PDGFRB
IL7R	PPI>	STAT3
PTK2	PPI>	EGFR
PTPN11	PPI>	EGFR
PIK3R1	PPI>	IGF1R
IL7R	PPI>	JAK1
SYK	PPI>	LCK
IFNAR1	PPI>	STAT3
TUB	PPI>	JAK2
SHC1	PPI>	MAPK14
PIK3R1	PPI>	PTK2B
IL2RB	PPI>	STAT3
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
IRS1	PPI>	PRKCD
SYK	PPI>	JAK1
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
MTOR	PPI>	TERT
PIK3R3	PPI>	IRS1
JAK3	PPI>	STAT5A
SOCS1	PPI>	EGFR
SOCS1	PPI>	IL2RB
PIK3R1	PPI>	JAK1
PLD2	PPI>	LCK
EGFR	PPI>	STAT1
FYN	PPI>	IL2RB
STAT3	PPI>	PTPN2
PDGFRA	PPI>	PTPN11
JAK3	PPI>	JAK1
MTOR	PPI>	RHEBL1
JAK2	PPI>	PTPN11
SRC	PPI>	SYK
STAT3	PPI>	EGFR
PTPN11	PPI>	PDGFRA
PIK3R1	PPI>	PTPN11
PIK3R1	PPI>	MAPK8
STAT3	PPI>	PTPN11
IRS2	PPI>	JAK1
PIK3R1	PPI>	GHR
PIK3CA	PPI>	IRS2
PLD2	PPI>	FYN
CRK	PPI>	FYN
PTK2B	PPI>	JAK1
RPS6KA1	PPI>	FOS
RPS6KB1	PPI>	XPO1
PDGFRB	PPI>	PTK2
JAK2	PPI>	STAT1
FYN	PPI>	SYK
STAT3	PPI>	FLT1
ATM	PPI>	CREB1
SYK	PPI>	CSF2RB
JAK2	PPI>	PTK2
SOCS1	PPI>	PDGFRB
PTK2B	PPI>	LCK
SHC1	PPI>	LCK
PDGFRB	PPI>	STAT5A
PTK2B	PPI>	SYK
RET	PPI>	MAPK14
JAK1	PPI>	IL2RB
PLD2	PPI>	PRKCD
PTK2	PPI>	SRC
SYK	PPI>	PTK2
PIK3R2	PPI>	SOCS1
RAC1	PPI>	STAT1
PIK3R3	PPI>	PIK3CA
PDGFRA	PPI>	JAK1
YWHAB	PPI>	PRKCD
CDC42	PPI>	LCK
SHC1	PPI>	PTPN11
PTK2B	PPI>	FYN
PRKCD	PPI>	LCK
MTOR	PPI>	RPS6KA1
RPS6KB1	PPI>	AKT1
JAK3	PPI>	LCK
STAT3	PPI>	STAT5A
CRK	PPI>	STAT5B
PTPN2	PPI>	STAT1
IRS1	PPI>	PTK2
INSR	PPI>	STAT5A
IRS2	PPI>	PTPN11
EGFR	PPI>	PTK2
GHR	PPI>	JAK1
STAT3	PPI>	STAT1
STAT3	PPI>	ELP2
MTOR	PPI>	STAT3
PTK2	PPI>	PDGFRB
LCK	PPI>	SYK
PIK3R1	PPI>	IRS2
GAB2	PPI>	LCK
SHC1	PPI>	PRKCD
PIK3R1	PPI>	MST1R
EGFR	PPI>	CEBPB
RPS6KA1	PPI>	CEBPB
RPS6KA3	PPI>	CREB1
PIK3R1	PPI>	IRS1
PTPN11	PPI>	PTK2
PRKCD	PPI>	EGFR
SRC	PPI>	ABL1
GHR	PPI>	STAT5A
MAPK14	PPI>	CREB1
FES	PPI>	JAK1
INSR	PPI>	JAK1
IRS1	PPI>	PTPN11
PIK3CA	PPI>	PIK3R3
RAC1	PPI>	AKT1
SRC	PPI>	STAT5B
JAK1	PPI>	STAT3
TERT	PPI>	SRC
GAB2	PPI>	SRC
FLT1	PPI>	STAT1
SHC1	PPI>	FLT1
SHC1	PPI>	CSF2RB
PDGFRA	PPI>	STAT5B
SHC1	PPI>	PTK2
PTPN11	PPI>	FLT1
YWHAG	PPI>	PRKCD
PIK3R1	PPI>	SHC1
PIK3R1	PPI>	SOCS1
FYN	PPI>	CSF2RB
PIK3R1	PPI>	CRK
IL2RB	PPI>	SYK
YWHAB	PPI>	ABL1
EIF4EBP1	PPI>	MAPK14
CRK	PPI>	ABL1
SRC	PPI>	PTPN2
ABL1	PPI>	JAK1
PDGFRB	PPI>	JAK1
IFNAR1	PPI>	PTPN11
PDPK1	PPI>	PRKCD
PTK2	PPI>	FYN
PIK3R2	PPI>	FGFR1
PDGFRB	PPI>	STAT3
PIK3R1	PPI>	RET
PRKCD	PPI>	STAT1
PTPN11	PPI>	STAT3
TUB	PPI>	SRC
IL2RB	PPI>	STAT5B
PIK3R3	PPI>	IRS2
YWHAB	PPI>	SRC
PIK3R1	PPI>	INSR
PIK3R3	PPI>	IGF1R
STAT3	PPI>	CSF2RB
JAK1	PPI>	CSF2RB
SYK	PPI>	STAT5A
PIK3R1	PPI>	JAK2
PIK3R1	PPI>	CDC42
MAPK14	PPI>	STAT1
EGFR	PPI>	JAK2
IL7R	PPI>	FYN
IRS1	PPI>	JAK2
LCK	PPI>	PRKCD
FES	PPI>	JAK2
ABL1	PPI>	SRC
PIK3R2	PPI>	YWHAB
IL2RB	PPI>	FYN
PTPN11	PPI>	CSF2RB
JAK3	PPI>	STAT3
JAK1	PPI>	SYK
FYN	PPI>	STAT1
PRKCD	PPI>	FYN
FYN	PPI>	JAK2
INSR	PPI>	SRC
IRS2	PPI>	JAK2
MST1R	PPI>	AKT1
SHC1	PPI>	IL2RB
PIK3R1	PPI>	FES
PTK2	PPI>	PTPN11
IGF1R	PPI>	STAT3
PIK3CA	PPI>	LCK
ABL1	PPI>	JAK2
PIK3R2	PPI>	PDGFRB
SHC1	PPI>	PTPN2
PDPK1	PPI>	RPS6KA1
PIK3R1	PPI>	ABL1
SRC	PPI>	STAT1
EGFR	PPI>	STAT5A
PIK3R1	PPI>	FYN
FYN	PPI>	PDGFRB
IL7R	PPI>	STAT5B
TERT	PPI>	XPO1
RPS6KA5	PPI>	STAT1
RPS6KB1	PPI>	RAC1
SOCS1	PPI>	JAK1
TYK2	PPI>	JAK1
SHC1	PPI>	MAPKAPK2
PIK3R1	PPI>	RAC1
PDGFRB	PPI>	EGFR
MST1R	PPI>	SRC
JAK1	PPI>	PDGFRA
NTRK1	PPI>	PTPN11
INSR	PPI>	PRKCD
JAK3	PPI>	PTPN2
SRC	PPI>	AKT1
MTOR	PPI>	YWHAQ
MTOR	PPI>	EIF4EBP1
RET	PPI>	SRC
AKT1	PPI>	MAPKAPK2
PIK3R1	PPI>	NTRK1
JAK3	PPI>	IL2RB
MTOR	PPI>	RHEB
MAPKAPK2	PPI>	CREB1
SYK	PPI>	SRC
STAT5B	PPI>	STAT1
MAPK8	PPI>	MAPK14
GAB2	PPI>	AKT1
SRC	PPI>	PRKCD
RPS6KA5	PPI>	CREB1
PTK2B	PPI>	EGFR
